DIA,GRUPO ETÁRIO,CASOS_CONFIRMADOS,OBITOS
28 ABR 2020,40-49,55.0,0.0
28 ABR 2020,50-59,31.0,1.0
28 ABR 2020,60-69,37.0,3.0
28 ABR 2020,70-79,34.0,3.0
28 ABR 2020,80+,54.0,13.0
29 ABR 2020,0-9,2.0,0.0
29 ABR 2020,10-19,6.0,0.0
29 ABR 2020,20-29,14.0,0.0
29 ABR 2020,30-39,30.0,0.0
29 ABR 2020,40-49,28.0,0.0
29 ABR 2020,50-59,36.0,1.0
29 ABR 2020,60-69,18.0,3.0
29 ABR 2020,70-79,15.0,4.0
29 ABR 2020,80+,34.0,17.0
30 ABR 2020,0-9,1.0,0.0
30 ABR 2020,10-19,19.0,0.0
30 ABR 2020,20-29,76.0,0.0
30 ABR 2020,30-39,61.0,0.0
30 ABR 2020,40-49,48.0,0.0
30 ABR 2020,50-59,80.0,1.0
30 ABR 2020,60-69,1.0,1.0
30 ABR 2020,70-79,14.0,4.0
30 ABR 2020,80+,68.0,10.0
01 MAI 2020,0-9,4.0,0.0
01 MAI 2020,10-19,13.0,0.0
01 MAI 2020,20-29,44.0,0.0
01 MAI 2020,30-39,53.0,0.0
01 MAI 2020,40-49,53.0,0.0
01 MAI 2020,50-59,53.0,2.0
01 MAI 2020,60-69,19.0,1.0
01 MAI 2020,70-79,10.0,2.0
01 MAI 2020,80+,46.0,13.0
02 MAI 2020,0-9,10.0,0.0
02 MAI 2020,10-19,4.0,0.0
02 MAI 2020,20-29,43.0,0.0
02 MAI 2020,30-39,36.0,0.0
02 MAI 2020,40-49,26.0,0.0
02 MAI 2020,50-59,38.0,1.0
02 MAI 2020,60-69,15.0,1.0
02 MAI 2020,70-79,7.0,4.0
02 MAI 2020,80+,24.0,10.0
03 MAI 2020,0-9,0.0,0.0
03 MAI 2020,10-19,0.0,0.0
03 MAI 2020,20-29,2.0,0.0
03 MAI 2020,30-39,1.0,0.0
03 MAI 2020,40-49,1.0,0.0
